     lexCurNode lineno          token valIfNum          parentNodeSymbol isLeaf               NodeSymbol
--------------------------------------------------------------------------------------------------------
          _main      1           MAIN     ----           <mainFunction>    YES                ---------
      ---------      0 --------------     ----                     ROOT     NO           <mainFunction>
              [      1            SQO     ----           <mainFunction>    YES                ---------
              ]      1            SQC     ----           <mainFunction>    YES                ---------
         string      2         STRING     ----                   <type>    YES                ---------
      ---------      0 --------------     ----        <declarationStmt>     NO                   <type>
      ---------      0 --------------     ----                   <stmt>     NO        <declarationStmt>
           str1      2             ID     ----               <var_list>    YES                ---------
      ---------      0 --------------     ----        <declarationStmt>     NO               <var_list>
              ,      2          COMMA     ----               <more_ids>    YES                ---------
      ---------      0 --------------     ----               <var_list>     NO               <more_ids>
           str2      2             ID     ----               <more_ids>    YES                ---------
          EMPTY     -1        EPSILON     ----               <more_ids>    YES                ---------
      ---------      0 --------------     ----               <more_ids>     NO               <more_ids>
              ;      2      SEMICOLON     ----        <declarationStmt>    YES                ---------
      ---------      0 --------------     ----      <stmtOrFunctionDef>     NO                   <stmt>
      ---------      0 --------------     ----    <stmtAndFunctionDefs>     NO      <stmtOrFunctionDef>
      ---------      0 --------------     ----           <mainFunction>     NO    <stmtAndFunctionDefs>
         matrix      3         MATRIX     ----                   <type>    YES                ---------
      ---------      0 --------------     ----        <declarationStmt>     NO                   <type>
      ---------      0 --------------     ----                   <stmt>     NO        <declarationStmt>
             m1      3             ID     ----               <var_list>    YES                ---------
      ---------      0 --------------     ----        <declarationStmt>     NO               <var_list>
          EMPTY     -1        EPSILON     ----               <more_ids>    YES                ---------
      ---------      0 --------------     ----               <var_list>     NO               <more_ids>
              ;      3      SEMICOLON     ----        <declarationStmt>    YES                ---------
      ---------      0 --------------     ----      <stmtOrFunctionDef>     NO                   <stmt>
      ---------      0 --------------     ----  <moreStmtOrFunctionDef>     NO      <stmtOrFunctionDef>
      ---------      0 --------------     ----    <stmtAndFunctionDefs>     NO  <moreStmtOrFunctionDef>
          EMPTY     -1        EPSILON     ----  <moreStmtOrFunctionDef>    YES                ---------
      ---------      0 --------------     ----  <moreStmtOrFunctionDef>     NO  <moreStmtOrFunctionDef>
            end      5            END     ----           <mainFunction>    YES                ---------
